cik,name,tags,score,rev_cur,rev_prev,op_cur,op_prev,ni_cur,ni_prev
1860543,"CADRE HOLDINGS, INC.",S1,0.275,207126000,157109000,22462000,14685000,11407000,12211000
1618755,RESTAURANT BRANDS INTERNATIONAL LIMITED PARTNERSHIP,S3,0.273,2520000000,2410000000,716000000,483000000,,
1618756,RESTAURANT BRANDS INTERNATIONAL INC.,S3,0.273,2520000000,2410000000,716000000,483000000,,
31235,EASTMAN KODAK COMPANY,S2,0.272,311000000,263000000,15000000,-5000000,17000000,-26000000
2015845,"Everus Construction Group, Inc.",S1,0.272,1231547000,921466000,111771000,72507000,83890000,52843000
1766400,"THE PENNANT GROUP, INC.",S1,0.27,297984000,219501000,17186000,11528000,9082000,7085000
1818201,CCC INTELLIGENT SOLUTIONS HOLDINGS INC.,S3,0.268,285931000,260451000,47633000,24470000,20787000,12960000
1544522,Freshworks Inc.,S2,0.263,237377000,204678000,6060000,-8656000,3239000,-1739000
778164,"ALTO INGREDIENTS, INC.",S2,0.262,245698000,218436000,8619000,-8108000,11701000,-10997000
1652535,"ICHOR HOLDINGS, LTD.",S2,0.26,294784000,240285000,7195000,-4840000,998000,-9408000
746515,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",S1,0.259,3502335000,2651885000,349618000,247736000,266226000,183574000
717605,Hexcel Corporation,S3,0.258,529300000,489900000,72600000,30000000,49300000,13500000
1050797,COLUMBIA SPORTSWEAR COMPANY,S2,0.257,614362000,605246000,30884000,-23591000,26553000,-10196000
833640,"POWER INTEGRATIONS, INC.",S2,0.254,118939000,115852000,8900000,-1345000,9833000,1369000
1660280,"TENABLE HOLDINGS, INC.",S2,0.254,268508000,247295000,12368000,-7448000,3805000,-14706000
7536,"ARROW ELECTRONICS, INC.",S1,0.251,9992237000,7579947000,377333000,190586000,272711000,187749000
926326,"OMNICELL, INC",S3,0.25,312208000,290562000,32449000,8120000,24289000,5639000
1598665,"Heritage Insurance Holdings, Inc.",S3,0.245,214195000,208035000,83850000,64870000,61710000,48024000
1832466,"ALIGNMENT HEALTHCARE, INC.",S1,0.243,1335633000,1015288000,42100000,22748000,36560000,15667000
72162,"NLI HOLDINGS, INC.",S3,0.241,43614000,40366000,6133000,2801000,8954000,355000
1274494,"First Solar, Inc.",S3,0.238,1056193000,1097170000,450386000,361607000,422569000,341868000
1103982,"Mondelez International, Inc.",S3,0.233,9355000000,8984000000,1946000000,1172000000,1548000000,641000000
1177394,TD SYNNEX CORPORATION,S1,0.233,19574813000,14946315000,519362000,328139000,334088000,184921000
1860742,Bausch & Lomb Corp,S2,0.232,1394000000,1278000000,83000000,-11000000,-14000000,-62000000
1604778,"Qorvo, Inc.",S3,0.22,784795000,818778000,96770000,30086000,85802000,25594000
1818093,SkinHealth Systems Inc.,S2,0.209,72113000,78187000,3572000,-2700000,-2669000,19712000
1286139,"LegalZoom.com, Inc.",S2,0.202,205289000,192509000,10650000,-3100000,5183000,-266000
1743759,"Corsair Gaming, Inc.",S2,0.197,314335000,320112000,7608000,-16923000,8843000,-20862000
1368514,"ADMA BIOLOGICS, INC.",S3,0.195,124395000,121984000,52445000,42798000,37822000,34219000
6176,AMPCO-PITTSBURGH CORP,S2,0.187,97904000,108933000,5072000,-3078000,1489000,-7335000
92103,EDISON INTERNATIONAL,S3,0.182,4357000000,4543000000,1092000000,775000000,534000000,343000000
1574085,BRAEMAR HOTELS & RESORTS INC.,S3,0.178,171026000,179077000,30611000,17894000,7038000,-5467000
1124198,FLUOR CORPORATION,S2,0.177,4329000000,3978000000,135000000,-26000000,114000000,2460000000
1504776,Warby Parker Inc.,S2,0.176,235511000,214475000,3167000,-4525000,4644000,-1752000
1043509,"SONIC AUTOMOTIVE, INC.",S2,0.172,3934000000,3657200000,131600000,-23300000,57400000,-45600000
1722684,"Wyndham Hotels & Resorts, Inc.",S3,0.171,375000000,397000000,174000000,150000000,102000000,87000000
1420800,Enovis Corp,S2,0.169,582782000,564545000,17413000,-16796000,-1190000,-36739000
107263,"Williams Companies, Inc.",S3,0.169,3379000000,3378000000,1182000000,945000000,827000000,546000000
871763,MANPOWERGROUP INC.,S2,0.151,4860200000,4519300000,112000000,-25300000,,-67100000
1071739,CENTENE CORPORATION,S2,0.138,44375000000,42467000000,1198000000,-458000000,1091000000,-253000000
1381531,DOMTAR CORPORATION,S2,0.138,1755000000,1763000000,22000000,-70000000,-56000000,-76000000
1756390,"ASCEND WELLNESS HOLDINGS, INC.",S2,0.133,126118000,127304000,5280000,-1002000,,
12927,THE BOEING COMPANY,S2,0.121,24560000000,22749000000,156000000,-176000000,-444000000,-611000000
1437107,"Warner Bros. Discovery, Inc.",S2,0.096,8717000000,9812000000,237000000,-185000000,149000000,1580000000
876427,"MONRO, INC.",S2,0.085,287129000,301035000,3695000,-6075000,-2149000,-8050000
1000753,"Insperity, Inc.",S2,0.067,1686000000,1658000000,6000000,-7000000,4000000,-5000000
