basDt,srtnCd,isinCd,crno,mrktCtg,itmsNm,corpNm
20260827,A003920,KR7003920006,1101110092976,KOSPI,남양유업,남양유업(주)
20260827,A003960,KR7003960002,1101110042278,KOSPI,사조대림,(주)사조대림
20260827,A0039P0,KR70039P0000,1101115628156,KOSDAQ,매드업,주식회사 매드업
20260827,A004000,KR7004000006,1812110000013,KOSPI,롯데정밀화학,롯데정밀화학(주)
20260827,A004020,KR7004020004,1201110001743,KOSPI,현대제철,현대제철(주)
20260827,A004060,KR7004060000,1101110048002,KOSPI,SG세계물산,(주)SG세계물산
20260827,A004080,KR7004080008,1101110047864,KOSPI,신흥,(주)신흥
20260827,A004090,KR7004090007,1101110048490,KOSPI,한국석유,한국석유공업(주)
20260827,A004100,KR7004100004,1101110003212,KOSPI,태양금속,태양금속공업(주)
20260827,A004140,KR7004140000,1101110124521,KOSPI,동방,(주)동방
20260827,A004150,KR7004150009,1101110017867,KOSPI,한솔홀딩스,한솔홀딩스(주)
20260827,A004170,KR7004170007,1101110028848,KOSPI,신세계,(주)신세계
20260827,A0041B0,KR70041B0002,1101110921948,KOSDAQ,교보18호스팩,교보18호기업인수목적 주식회사
20260827,A0041J0,KR70041J0004,1101110922113,KOSDAQ,엘에스스팩1호,엘에스기업인수목적1호 주식회사
20260827,A0041L0,KR70041L0000,1101110922324,KOSDAQ,하나35호스팩,하나35호기업인수목적 주식회사
20260827,A004250,KR7004250007,1101110212699,KOSPI,NPC,엔피씨(주)
20260827,A004270,KR7004270005,1101110054760,KOSPI,남성,(주)남성
20260827,A004310,KR7004310009,1243110000250,KOSPI,현대약품,현대약품(주)
20260827,A004360,KR7004360004,1801110015932,KOSPI,세방,세방(주)
20260827,A004370,KR7004370003,1101110057574,KOSPI,농심,(주)농심
20260827,A004380,KR7004380002,1701110000935,KOSPI,삼익THK,삼익THK(주)
20260827,A004410,KR7004410007,1101110059702,KOSPI,서울식품,서울식품공업(주)
20260827,A004430,KR7004430005,1801110000636,KOSPI,송원산업,송원산업(주)
20260827,A004440,KR7004440004,1101110061228,KOSPI,삼일씨엔에스,(주)삼일씨엔에스
